ACTIVITYCODE,ACTIVITYENGLISH,ACTIVITYARABIC
F452021,General Maintenance,الصيانة العامة
F453011,Metal Parts Fixtures Contracting,تركيب التجهيزات والأجزاء المعدنية
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
F452001,Building Contracting,مقاولات البناء
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G513922,Antennas Trading,تجارة الهوائيات
G515206,Telephones & Telecommunications Equipment Trading,تجارة الهواتف وأجهزة الإتصال السلكي
G515207,Mobile Phones Trading,تجارة الهواتف المتحركة
G515208,Paging Receivers Trading,تجارة أجهزة النداء العام
G521107,Foodstuff Supply Services,خدمات تموين بالمواد الغذائية
G521108,Catering Services,تعهدات تزويد بالوجبات الغذائية الجاهزة
G513113,Sports Wear Trading,تجارة الملابس الرياضية
K749917,Businessmen Services,خدمات رجال الأعمال
F454016,Sanitary Installation & Pipes Repairing,إصلاح التمديدات والتركيبات الصحية وتمديدات المياه
F454004,Painting Contracting,أعمال الأصباغ والدهانات
N851223,Optical Center,مركز بصريات
G513960,Spectacles and Contact Lenses Trading,تجارة النظارات الطبية والعدسات اللاصقة
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G515962,Light Duty Equipment and Engines Repair,إصلاح الآلات والمكائن الخفيفة
G515966,"Heavy Duty Equipment, Machinery Repair, Operations and Maintenance",إصلاح المكائن والمعدات الثقيلة وصيانتها وتشغيلها
D289919,Lathe Workshop,ورشة خراطة
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
K701003,Leasing and Management of other people's property,خدمات تأجير وإدارة العقارات للغير
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G514204,Non-Manufactured Precious Metal Trading,تجارة الذهب والمعادن الثمينة غير المشغولة
G513928,Jewellery Trading,تجارة المجوهرات والمصوغات من الذهب والفضة
G514208,Building Hardware & Tools Trading,تجارة عدد وأدوات البناء
G514300,Building & Construction Materials Trading,تجارة مواد البناء
G514301,Reinforcement Steel Bars Trading,تجارة حديد التسليح
G514302,Bricks Trading,تجارة الطوب
G514326,Readymix Concrete Trading,تجارة الخرسانة الجاهزة
G514306,Tiles & Flooring Materials Trading,تجارة البلاط والأرضيات
G514307,Glass and Mirrors Trading,تجارة الزجاج والمرايا
G514309,Cement Products Trading,تجارة المنتجات الإسمنتية
G514304,"Sand, Gravel & Stones Trading",تجارة الرمل والحصى وأحجار البناء
G513922,Antennas Trading,تجارة الهوائيات
G513915,"Refrigerators , Washing Machines & Household Electrical Appliances Trd",تجارة الثلاجات والغسالات والأجهزة الكهربائية المنزلية
G513913,Cookers & Cookstoves Trading,تجارة المواقد والأفران والطابخات
G513914,"Audio-visual, Recording Equipment and Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G512232,Vegetables & Fruit Trading,تجارة الخضار والفواكه
G512200,Foodstuff and Beverages Trading,تجارة المواد الغذائية والمشروبات
D201002,Wooden Pallets Manufacturing,صناعة المنصات النقالة الخشبية
G512201,Health Food Trading,تجارة الأغذية الصحية
G513113,Sports Wear Trading,تجارة الملابس الرياضية
G513941,Sport Equipment and Articles Trading,تجارة المعدات والأدوات الرياضية
G513943,Fishing and Hunting Requisites Trading,تجارة أدوات الصيد
G513944,Camping Requisites Trading,تجارة لوازم وأدوات الرحلات
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630901,Freight Broker,وسيط شحن
D289201,Metal Products Coating,طلاء المنتجات المعدنية
D289919,Lathe Workshop,ورشة خراطة
D289918,Steel Fabrication and Welding Workshop,ورشة للحدادة واللحام
I630203,General Warehousing,التخزين في مخازن عامة
I630103,Cargo Packaging,خدمات حزم البضائع
G515905,Industrial Plant Equipment & Spare Parts Trading,تجارة معدات ومكائن تجهيز المصانع وقطع غيارها
G515918,Heavy Equipment & Machinery Spare Parts Trading,تجارة قطع غيار الآلات والمعدات الثقيلة
G515917,Construction Equipment & Machinery Spare Parts Trading,تجارة قطع غيار معدات وآليات البناء
G515915,Construction Equipment and Machinery Trading,تجارة معدات وآليات البناء والتشييد
G521103,Grocery Store,بقالة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454015,Electrical Fittings and Fixtures Services,إصلاح التمديدات والتركيبات الكهربائية
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions & False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454005,Carpentry & Flooring Contracting,أعمال النجارة وتركيب الأرضيات
G503003,Tyres and Rims Trading,تجارة إطارات السيارات
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
Other,Other Activity,نشاط آخر
Other,Other Activity,نشاط آخر
Other,Other Activity,نشاط آخر
G513109,Baby Wear Trading,تجارة ملابس الأطفال
G513117,Shoe Trading,تجارة الأحذية
I602301,Cargo Transport by Heavy Trucks,نقل المواد العامة بالشاحنات الثقيلة
I602310,Cargo Transport by Light Trucks,نقل المواد العامة بالشاحنات الخفيفة
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G513934,Novelties Trading,تجارة التحف الفنية
F454019,Cladding Works,أعمال التكسية
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630403,Shipping Lines Agents,وكيل خطوط ملاحية
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
F452001,Building Contracting,مقاولات البناء
F452008,Steel Constructions Contracting,مقاولات تشييد الإنشاءات المعدنية
G502002,Auto Mechanical Repair,إصلاح ميكانيكي للمركبات
G502003,Auto Electric Repairing,إصلاح كهرباء السيارات
G502006,Auto Denting & Painting,ترميم (سمكرة) ودهان هياكل المركبات
G502005,Tyre Fixing and Wheel Alignment Services,تبديل إطارات المركبات وإصلاحها
A011202,"Growing & Planting Trees Seedling,  Ornamental Plants and Annual Flowers",زراعة شتلات الأشجار والنباتات
G512103,Flowers & Ornamental Plants Trading,تجارة زهور القطف ونباتات الزينة الداخلية
G515944,Garden Equipment Trading,تجارة معدات الحدائق
G514926,Organic Fertilizer & Plant Feed Trading,تجارة الأسمدة العضوية والمصلحات الزراعية
